date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:54	83206/83206	---M--	200	added ('OK')	image/jpeg	etag:%22647bd53f-14506%22	https://rootedthegame.com/storage/grange.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/grange.jpg	(from https://rootedthegame.com/news)
22:06:54	110902/110902	---M--	200	added ('OK')	image/jpeg	etag:%226492ca44-1b136%22	https://rootedthegame.com/storage/bgNews.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/bgNews.jpg	(from https://rootedthegame.com/news)
22:06:54	54566/54566	---M--	200	added ('OK')	image/jpeg	etag:%2265e4a121-d526%22	https://rootedthegame.com/storage/alert-stay-safe-from-scam-websites-rooted-community.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/alert-stay-safe-from-scam-websites-rooted-community.jpg	(from https://rootedthegame.com/news)
22:06:54	16182/16182	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:16%20GMT	https://rootedthegame.com/news/stay-safe-from-scam-websites-rooted-community	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/stay-safe-from-scam-websites-rooted-community.html	(from https://rootedthegame.com/news)
22:06:55	65346/65346	---M--	200	added ('OK')	image/jpeg	etag:%2265a43a25-ff42%22	https://rootedthegame.com/storage/a.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/a.jpg	(from https://rootedthegame.com/news)
22:06:55	16669/16669	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:16%20GMT	https://rootedthegame.com/news/qa-rooted-community-january-2024	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/qa-rooted-community-january-2024.html	(from https://rootedthegame.com/news)
22:06:55	52905/52905	---M--	200	added ('OK')	image/jpeg	etag:%22653c36ef-cea9%22	https://rootedthegame.com/storage/halloween-apocalypse-rooted-time-loop-event-20-years-back.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/halloween-apocalypse-rooted-time-loop-event-20-years-back.jpg	(from https://rootedthegame.com/news)
22:06:55	23110/23110	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:17%20GMT	https://rootedthegame.com/news/halloween-apocalypse-rooted-time-loop-event-20-years-back	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/halloween-apocalypse-rooted-time-loop-event-20-years-back.html	(from https://rootedthegame.com/news)
22:06:56	16173/16173	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:17%20GMT	https://rootedthegame.com/news/the-closed-alpha-is-live	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/the-closed-alpha-is-live.html	(from https://rootedthegame.com/news)
22:06:56	1003141/1003141	---M--	200	added ('OK')	image/jpeg	etag:%2264fe3a8a-f4e85%22	https://rootedthegame.com/storage/the-closed-alpha-is-live.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/the-closed-alpha-is-live.jpg	(from https://rootedthegame.com/news)
22:06:57	30495/30495	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:18%20GMT	https://rootedthegame.com/news/everything-you-need-to-know-before-launching-the-first-alpha	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/everything-you-need-to-know-before-launching-the-first-alpha.html	(from https://rootedthegame.com/news)
22:06:57	80161/80161	---M--	200	added ('OK')	image/jpeg	etag:%2264c7d3db-13921%22	https://rootedthegame.com/storage/rooted-alpha-launch-date-and-must-see-video.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/rooted-alpha-launch-date-and-must-see-video.jpg	(from https://rootedthegame.com/news)
22:06:57	20044/20044	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:18%20GMT	https://rootedthegame.com/news/rooted-alpha-release-date-developer-insight-music	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/rooted-alpha-release-date-developer-insight-music.html	(from https://rootedthegame.com/news)
22:06:57	1824611/1824611	---M--	200	added ('OK')	image/jpeg	etag:%2264f2175a-1bd763%22	https://rootedthegame.com/storage/everything-you-need-to-know-before-launching-the-first-alpha.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/everything-you-need-to-know-before-launching-the-first-alpha.jpg	(from https://rootedthegame.com/news)
22:06:57	17853/17853	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:19%20GMT	https://rootedthegame.com/news/rooted-available-on-epic-games-store	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/rooted-available-on-epic-games-store.html	(from https://rootedthegame.com/news)
22:06:58	100722/100722	---M--	200	added ('OK')	image/jpeg	etag:%2264917e16-18972%22	https://rootedthegame.com/storage/our-discord-bot-has-been-updated.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/our-discord-bot-has-been-updated.jpg	(from https://rootedthegame.com/news)
22:06:58	680385/680385	---M--	200	added ('OK')	image/jpeg	etag:%22649ca728-a61c1%22	https://rootedthegame.com/storage/rooted-available-on-epic-games-store.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/rooted-available-on-epic-games-store.jpg	(from https://rootedthegame.com/news)
